Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
1-Jan-14,6323.8,6327.2,6298.25,6301.65,69567668,2015.36
2-Jan-14,6301.25,6358.3,6211.3,6221.15,158132556,5249.79
3-Jan-14,6194.55,6221.7,6171.25,6211.15,139043889,5369.42
6-Jan-14,6220.85,6224.7,6170.25,6191.45,118344976,4722.67
7-Jan-14,6203.9,6221.5,6144.75,6162.25,138559000,5696.6
8-Jan-14,6178.05,6192.1,6160.35,6174.6,146912639,5816.54
9-Jan-14,6181.7,6188.05,6148.25,6168.35,150064466,5908.02
10-Jan-14,6178.85,6239.1,6139.6,6171.45,159920407,7347.29
13-Jan-14,6189.55,6288.2,6189.55,6272.75,135009945,5984.02
14-Jan-14,6260.25,6280.35,6234.15,6241.85,110231153,4703.01
15-Jan-14,6265.95,6325.2,6265.3,6320.9,145922867,6422.97
16-Jan-14,6341.35,6346.5,6299.85,6318.9,153420441,6758.63
17-Jan-14,6306.25,6327.1,6246.35,6261.65,167719501,7895.92
20-Jan-14,6261.75,6307.45,6243.35,6303.95,122136071,5499.51
21-Jan-14,6320.15,6330.3,6297.9,6313.8,141728380,5831.26
22-Jan-14,6309.05,6349.95,6287.45,6338.95,137490525,5635.92
23-Jan-14,6325.95,6355.6,6316.4,6345.65,120054602,5278.88
24-Jan-14,6301.65,6331.45,6263.9,6266.75,160270856,6209.06
27-Jan-14,6186.3,6188.55,6130.25,6135.85,190442601,7091.1
28-Jan-14,6131.85,6163.6,6085.95,6126.25,184111740,7710.08
29-Jan-14,6161,6170.45,6109.8,6120.25,146733030,6487.39
30-Jan-14,6067,6082.85,6027.25,6073.7,208061426,7694.04
31-Jan-14,6082.75,6097.85,6067.35,6089.5,146713083,5407.1
3-Feb-14,6058.8,6074.85,5994.45,6001.8,134893587,4635.69
4-Feb-14,5947.6,6017.8,5933.3,6000.9,183252654,6075.02
5-Feb-14,6004.25,6028.05,5962.05,6022.4,166627311,5572.13
6-Feb-14,6028.35,6048.35,5965.4,6036.3,185503324,6291.97
7-Feb-14,6077.65,6079.95,6030.9,6063.2,181932292,5591.39
10-Feb-14,6072.8,6083.05,6046.4,6053.45,133070328,4762.89
11-Feb-14,6072.45,6081.85,6053.25,6062.7,150520900,5268.8
12-Feb-14,6085.35,6106.6,6077.4,6084,138547391,5351.08
13-Feb-14,6087.55,6094.4,5991.1,6001.1,153652371,5037.18
14-Feb-14,6023.75,6056.4,5984.6,6048.35,140204479,5539.7
17-Feb-14,6057.1,6080.65,6038.3,6073.3,108492457,4455.65
18-Feb-14,6071.3,6141.7,6066.8,6127.1,126639146,4592.38
19-Feb-14,6132.05,6160.35,6125.75,6152.75,95248833,3735.52
20-Feb-14,6127.15,6129.1,6086.45,6091.45,132108928,4344.77
21-Feb-14,6108.3,6159.65,6108,6155.45,112596128,4001.93
24-Feb-14,6140.95,6191.85,6130.8,6186.1,144877047,4424.81
25-Feb-14,6205.7,6216.85,6176.6,6200.05,146259298,4782.95
26-Feb-14,6202.45,6245.95,6202.1,6238.8,181663811,6641.33
28-Feb-14,6228.45,6282.7,6228.1,6276.95,209914263,7869.42
3-Mar-14,6264.35,6277.75,6212.25,6221.45,144562338,5040.12
4-Mar-14,6216.75,6302.15,6215.7,6297.95,166818924,5550.29
5-Mar-14,6328.45,6336.25,6287.8,6328.65,160300066,5754.58
6-Mar-14,6344.75,6406.6,6339.7,6401.15,180731810,5844.96
7-Mar-14,6413.95,6537.8,6413.55,6526.65,284922346,11368.15
10-Mar-14,6491.7,6562.2,6487.35,6537.25,242143703,9992.74
11-Mar-14,6537.35,6562.85,6494.25,6511.9,238994883,8268.67
12-Mar-14,6497.5,6546.15,6487.3,6516.9,174977068,6176.54
13-Mar-14,6491.75,6561.45,6476.65,6493.1,167858387,8356.1
14-Mar-14,6447.25,6518.45,6432.7,6504.2,177336088,7114.55
18-Mar-14,6532.45,6574.95,6497.65,6516.65,179308616,7268.52
19-Mar-14,6530,6541.2,6506,6524.05,172464722,7666.24
20-Mar-14,6508.35,6523.65,6473.25,6483.1,141984189,6280.76
21-Mar-14,6515.2,6522.9,6485.7,6493.2,189854420,8841.94
22-Mar-14,6497.8,6502.65,6481.35,6494.9,9774392,373.66
24-Mar-14,6510.5,6591.5,6510.5,6583.5,158395722,6633.77
25-Mar-14,6550.1,6595.55,6544.85,6589.75,168125064,6475.61
26-Mar-14,6615.65,6627.45,6580.6,6601.4,186570474,7046.34
27-Mar-14,6613.1,6673.95,6599.5,6641.75,312383468,12924.37
28-Mar-14,6673.05,6702.6,6643.8,6695.9,134114378,6862.55
31-Mar-14,6723.15,6730.05,6662.4,6704.2,177579421,7743.3
1-Apr-14,6729.5,6732.25,6675.45,6721.05,147136671,7174.14
2-Apr-14,6757.6,6763.5,6723.6,6752.55,173335875,8007.75
3-Apr-14,6772.05,6776.75,6696.9,6736.1,197546648,7738.58
4-Apr-14,6741.85,6741.85,6685.15,6694.35,155127592,6676.88
7-Apr-14,6694.25,6725.15,6650.4,6695.05,133947319,6707.01
9-Apr-14,6722,6808.7,6705.1,6796.2,169794626,8892.66
10-Apr-14,6803.05,6819.05,6777.3,6796.4,191125947,9079.6
11-Apr-14,6758.35,6789.35,6743.15,6776.3,140734579,7463.19
15-Apr-14,6792.7,6813.4,6711.75,6733.1,123197822,7100.26
16-Apr-14,6727.25,6748.65,6665.15,6675.3,119768833,6168.64
17-Apr-14,6695.45,6783.05,6684.4,6779.4,131488368,6952.58
21-Apr-14,6789.25,6825.45,6786.9,6817.65,111840313,5711.98
22-Apr-14,6822.9,6838,6806.25,6815.35,114693049,5636.78
23-Apr-14,6823.25,6861.6,6820.75,6840.8,182972972,9247.25
25-Apr-14,6855.8,6869.85,6772.85,6782.75,154320793,8021.33
28-Apr-14,6778.55,6786.25,6750.3,6761.25,118162668,6297.18
29-Apr-14,6769,6779.7,6708.65,6715.25,115511531,5459.34
30-Apr-14,6724.95,6780.15,6656.8,6696.4,161106871,7066.78
2-May-14,6709.95,6737.65,6689.5,6694.8,114275323,5030.42
5-May-14,6681.65,6741.05,6680.45,6699.35,104989653,4881.32
6-May-14,6719.25,6743.45,6701.9,6715.3,88291413,4168.72
7-May-14,6708.6,6718.75,6642.9,6652.55,114099791,6513.29
8-May-14,6669.9,6688.4,6638.55,6659.85,101549745,5413.39
9-May-14,6654.15,6871.35,6652.15,6858.8,166442779,8027.14
12-May-14,6863.4,7020.05,6862.9,7014.25,157725090,8475.17
13-May-14,7080,7172.35,7067.15,7108.75,232221733,10573.11
14-May-14,7112,7142.25,7080.9,7108.75,177204155,9395.8
15-May-14,7111.3,7152.55,7082.55,7123.15,186848485,8947.95
16-May-14,7270.2,7563.5,7130.65,7203,393156741,21057.07
19-May-14,7276.85,7291.1,7193.55,7263.55,316246557,15228.6
20-May-14,7309.95,7353.65,7247.7,7275.5,255333095,11139.51
21-May-14,7274.85,7287.15,7206.7,7252.9,203137825,9544.12
22-May-14,7289.95,7319.55,7258.15,7276.4,240943899,10104.55
23-May-14,7306.5,7381,7293.9,7367.1,259638086,12002.13
26-May-14,7428.75,7504,7269.05,7359.05,273236339,13203.73
27-May-14,7363.1,7372.95,7274.75,7318,168599276,7931.22
28-May-14,7324.95,7344.75,7302.6,7329.65,175595609,8929.71
29-May-14,7316.6,7325.4,7224.4,7235.65,241115398,13385.17
30-May-14,7254.85,7272.5,7118.45,7229.95,312152571,13837.29
2-Jun-14,7264.05,7368.6,7239.5,7362.5,169891181,7833.43
3-Jun-14,7375.35,7424.95,7342.15,7415.85,234680218,10354.94
4-Jun-14,7417.55,7433.3,7391.35,7402.25,204592241,8913.89
5-Jun-14,7399.75,7484.7,7360.5,7474.1,250660653,11574.51
6-Jun-14,7521.5,7592.7,7497.65,7583.4,248397596,12322.96
9-Jun-14,7621.65,7673.7,7580.25,7654.6,231879926,10866.56
10-Jun-14,7679.05,7683.2,7579.3,7656.4,188669182,9475.21
11-Jun-14,7672.4,7700.05,7589.05,7626.85,186182446,10472.71
12-Jun-14,7641.3,7658,7593.8,7649.9,148207144,8187.49
13-Jun-14,7668.2,7678.5,7525.35,7542.1,174522339,11254.75
16-Jun-14,7534.8,7548.6,7487.55,7533.55,155377979,8449.27
17-Jun-14,7525.05,7637.6,7509.25,7631.7,157961787,8704.2
18-Jun-14,7636.05,7663,7515.5,7558.2,165078941,8963.97
19-Jun-14,7580.05,7606.45,7502.55,7540.7,148852437,8115.36
20-Jun-14,7543.3,7560.55,7497.3,7511.45,124132217,6801.49
23-Jun-14,7514,7534.8,7441.6,7493.35,127404790,6543.64
24-Jun-14,7515.2,7593.35,7515.2,7580.2,137002483,7146.44
25-Jun-14,7588.55,7589.25,7557.05,7569.25,114968325,6198.93
26-Jun-14,7554.1,7570.2,7481.3,7493.2,171676960,9190.64
27-Jun-14,7514.2,7538.75,7482.3,7508.8,126673395,6688.8
30-Jun-14,7534.05,7623.65,7531.6,7611.35,152303166,7887.37
1-Jul-14,7629,7649.5,7618.15,7634.7,139431498,6983.63
2-Jul-14,7683.05,7732.4,7677.3,7725.15,136324329,7363.75
3-Jul-14,7734.35,7754.65,7706.8,7714.8,133755275,7320.09
4-Jul-14,7718.1,7758,7661.3,7751.6,113070488,5863.82
7-Jul-14,7780.4,7792,7755.1,7787.15,173926355,8925.04
8-Jul-14,7804.05,7808.85,7595.9,7623.2,180646306,9002.25
