Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
1-Jan-13,5937.65,5963.9,5935.2,5950.85,77902745,3298.74
2-Jan-13,5982.6,6006.05,5982,5993.25,116057389,4992.9
3-Jan-13,6015.8,6017,5986.55,6009.5,99989933,4883.13
4-Jan-13,6011.95,6020.75,5981.55,6016.15,113232990,5191.38
7-Jan-13,6042.15,6042.15,5977.15,5988.4,110248018,5093.62
8-Jan-13,5983.45,6007.05,5964.4,6001.7,109937502,5247.74
9-Jan-13,6006.2,6020.1,5958.45,5971.5,129635568,6462.35
10-Jan-13,5998.8,6005.15,5947.3,5968.65,129767384,6191.88
11-Jan-13,6012.4,6018.85,5940.6,5951.3,128022002,8228.71
14-Jan-13,5967.2,6036.9,5962.15,6024.05,134711348,7279.83
15-Jan-13,6037.85,6068.5,6018.6,6056.6,138364003,6978.26
16-Jan-13,6049,6055.95,5992.05,6001.85,128985952,6172.67
17-Jan-13,6001.25,6053.2,5988.1,6039.2,178954867,7569.17
18-Jan-13,6059.85,6083.4,6048.3,6064.4,186460701,8321.15
21-Jan-13,6085.75,6094.35,6065.1,6082.3,130866385,6065.99
22-Jan-13,6080.15,6101.3,6040.5,6048.5,129041713,5744.09
23-Jan-13,6052.85,6069.8,6021.15,6054.3,136989190,5932.29
24-Jan-13,6046.2,6065.3,6007.85,6019.35,185210189,7884.14
25-Jan-13,6024.5,6080.55,6014.45,6074.65,147587200,6384.65
28-Jan-13,6082.1,6088.4,6061.4,6074.8,113113004,5592.39
29-Jan-13,6064.7,6111.8,6042.45,6049.9,157553752,8261.34
30-Jan-13,6065,6071.95,6044.15,6055.75,124222858,6220.8
31-Jan-13,6045.65,6058.05,6025.15,6034.75,168516750,8753.14
1-Feb-13,6040.95,6052.95,5983.2,5998.9,159271140,6189.27
4-Feb-13,6025.2,6038.5,5981.25,5987.25,141741868,6166.05
5-Feb-13,5948.2,5970.35,5946.9,5956.9,136227506,5332.28
6-Feb-13,5988.05,5990.9,5953.15,5959.2,157815926,5865.83
7-Feb-13,5936.45,5978.5,5927.6,5938.8,157647191,5555.4
8-Feb-13,5929.1,5953.7,5883.65,5903.5,192607376,6761.75
11-Feb-13,5920.05,5924.15,5879.1,5897.85,121958667,5506.43
12-Feb-13,5894.35,5927.65,5886.45,5922.5,142844560,4844.11
13-Feb-13,5943.15,5969.5,5922.95,5932.95,142636632,5714.83
14-Feb-13,5933.2,5940.2,5884.55,5896.95,143830565,7125.55
15-Feb-13,5869.95,5899.95,5853.9,5887.4,125091945,5187.91
18-Feb-13,5888.65,5911,5878.45,5898.2,114284193,4187.19
19-Feb-13,5900.2,5947.55,5883.15,5939.7,100984778,3743.8
20-Feb-13,5966.3,5971,5937.55,5943.05,135354164,5330.7
21-Feb-13,5909.65,5921.15,5844.4,5852.25,159401234,6407.29
22-Feb-13,5837.95,5873.8,5835.8,5850.3,157046865,5487.58
25-Feb-13,5870.55,5878.4,5825,5854.75,125128736,4851.54
26-Feb-13,5838.3,5838.85,5748.6,5761.35,157360222,5842.04
27-Feb-13,5784.9,5818.2,5749.7,5796.9,175165933,6202.31
28-Feb-13,5834.35,5849.9,5671.9,5693.05,334852895,12964.2
1-Mar-13,5702.45,5739.45,5679.9,5719.7,174517984,6877.59
4-Mar-13,5704.7,5712,5663.6,5698.5,144887325,5778.72
5-Mar-13,5722.45,5790.1,5722.4,5784.25,154406134,6321.31
6-Mar-13,5816.4,5828.7,5795.05,5818.6,156901392,6244.47
7-Mar-13,5801.3,5878,5801.3,5863.3,134679762,5676.89
8-Mar-13,5883.65,5952.85,5883,5945.7,150781148,6214.19
11-Mar-13,5946.1,5971.2,5930.35,5942.35,125384918,5688.38
12-Mar-13,5944.6,5952,5893.65,5914.1,115944389,5098.38
13-Mar-13,5884.8,5893.85,5842.25,5851.2,116710808,4950.09
14-Mar-13,5845.95,5920.15,5791.75,5908.95,149008437,7204.09
15-Mar-13,5914.9,5945.65,5861,5872.6,152156666,6984.19
18-Mar-13,5816.75,5850.2,5814.35,5835.25,102663402,4690.01
19-Mar-13,5859.5,5863.6,5724.3,5745.95,182311867,8255.03
20-Mar-13,5740.55,5745.3,5682.3,5694.4,187624850,7103.68
21-Mar-13,5705.9,5757.75,5647.95,5658.75,179177573,7053.93
22-Mar-13,5659.8,5691.45,5631.8,5651.35,165293291,5909.38
25-Mar-13,5707.3,5718.4,5624.4,5633.85,150388821,5683.44
26-Mar-13,5613.75,5655.3,5612.05,5641.6,126500524,4939.19
28-Mar-13,5647.75,5692.95,5604.85,5682.55,209658945,8372.35
1-Apr-13,5697.35,5720.95,5675.9,5704.4,97779717,3683.38
2-Apr-13,5701.7,5754.6,5687.15,5748.1,106423845,4262.15
3-Apr-13,5740.2,5744.95,5650.1,5672.9,140713330,5313.95
4-Apr-13,5640.65,5644.45,5565.65,5574.75,134586976,5000.44
5-Apr-13,5568.1,5577.3,5534.7,5553.25,137461477,5281.57
8-Apr-13,5550.5,5569.2,5537.05,5542.95,97021471,3673.21
9-Apr-13,5568.75,5603.05,5487,5495.1,138184712,5485.91
10-Apr-13,5536.25,5569.25,5477.2,5558.7,128558760,5387.08
11-Apr-13,5601.65,5610.65,5542.85,5594,146828501,6469.38
12-Apr-13,5520.7,5544.5,5494.9,5528.55,127323273,7447.27
15-Apr-13,5508.5,5592.85,5500.3,5568.4,142918219,7133.92
16-Apr-13,5562.45,5699.25,5555.85,5688.95,142679244,5943.06
17-Apr-13,5708.65,5732.15,5669,5688.7,154575403,7304.1
18-Apr-13,5682.7,5794.35,5681.85,5783.1,149883469,6588.7
22-Apr-13,5789.85,5844.85,5789.8,5834.4,135095797,6073.25
23-Apr-13,5843.1,5844.3,5791.55,5836.9,132218357,5366.87
25-Apr-13,5856.1,5924.6,5853.3,5916.3,199597725,9211.66
26-Apr-13,5899.75,5907.05,5860.5,5871.45,141311877,6840.01
29-Apr-13,5877.6,5918.65,5868.8,5904.1,118882089,5364.86
30-Apr-13,5932.6,5962.3,5867.8,5930.2,153186197,6699.02
2-May-13,5911.4,6019.45,5910.95,5999.35,162376438,7277.43
3-May-13,5993.5,6000.3,5930.15,5944,145754275,6590.91
6-May-13,5944.9,5976.5,5928.45,5971.05,110166713,4612.49
7-May-13,5983.45,6050.5,5982.95,6043.55,136372981,5572.16
8-May-13,6064.15,6083.55,6024.95,6069.3,122278698,5159.97
9-May-13,6078.35,6084.7,6040.45,6050.15,109997276,5164.76
10-May-13,6046.25,6105.3,6045.6,6094.75,111351573,5162.22
11-May-13,6088.2,6114.55,6084.15,6107.25,7991165,355.74
13-May-13,6098.2,6104.95,5972.9,5980.45,107948706,4633.05
14-May-13,5989.7,6026.2,5970.05,5995.4,119265483,4921.65
15-May-13,6018.85,6157.1,6018.85,6146.75,153892843,7240.73
16-May-13,6128.25,6187.3,6128.25,6169.9,158635506,6733.31
17-May-13,6172.95,6199.95,6146.15,6187.3,147280254,5870.44
20-May-13,6198,6229.45,6146.05,6156.9,122252978,5589.97
21-May-13,6152.35,6180.25,6102.35,6114.1,130589228,5122.71
22-May-13,6127.05,6147.6,6074.45,6094.5,133763685,5837.19
23-May-13,6050.4,6081.45,5955.7,5967.05,198930489,8230.1
