Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
1-Jan-09,2963.3,3039.25,2963.3,3033.45,226681072,4302.54
2-Jan-09,3034.6,3079.85,3021.8,3046.75,318672508,6132.72
5-Jan-09,3058.75,3131.95,3056.45,3121.45,311929372,6737.94
6-Jan-09,3121.5,3141.8,3056.1,3112.8,340452916,8091.74
7-Jan-09,3112.8,3147.2,2888.2,2920.4,686898999,10865.55
9-Jan-09,2919.95,2929.85,2810.25,2873,591981660,9080.84
12-Jan-09,2868.85,2869.2,2748.55,2773.1,272867140,6817.52
13-Jan-09,2775,2802.6,2720.8,2744.95,252698258,6407.58
14-Jan-09,2748.4,2853.25,2748.4,2835.3,217953716,5683.41
15-Jan-09,2832.3,2832.3,2701.75,2736.7,218127929,5670.43
16-Jan-09,2737,2835.65,2724.2,2828.45,229499649,4817.92
19-Jan-09,2828.7,2868.2,2819.9,2846.2,328336119,4531.5
20-Jan-09,2842.9,2842.9,2758,2796.6,233289325,4600.79
21-Jan-09,2777.4,2787.3,2690.2,2706.15,220067231,5254.06
22-Jan-09,2714.7,2744.85,2681.4,2713.8,229581189,5319.52
23-Jan-09,2705.45,2765.55,2661.65,2678.55,211289358,5090.88
27-Jan-09,2686.05,2777.3,2685.25,2771.35,220453539,5207.95
28-Jan-09,2771.1,2855.4,2765.6,2849.5,280820341,5561.59
29-Jan-09,2849.35,2873.85,2795.35,2823.95,347987447,7189.27
30-Jan-09,2824.05,2881,2774.1,2874.8,295045380,6200.66
2-Feb-09,2872.35,2873.45,2760.7,2766.65,235281717,5151.67
3-Feb-09,2773.5,2831.7,2752.9,2783.9,256264668,5901.06
4-Feb-09,2780.7,2842.2,2780.7,2803.05,204148860,4673.8
5-Feb-09,2802.75,2816.8,2754.85,2780.05,178583516,4169.13
6-Feb-09,2779.35,2852.5,2778.65,2843.1,187961190,4000.82
9-Feb-09,2843.05,2926.75,2840.15,2919.9,186517519,4485.04
10-Feb-09,2919.7,2957.4,2891.75,2934.5,302564116,6122.69
11-Feb-09,2933,2937.5,2877.6,2925.7,243376977,4898.58
12-Feb-09,2927.4,2939,2886.55,2893.05,214711779,4346.89
13-Feb-09,2896.95,2969.75,2896.85,2948.35,195741802,4681.6
16-Feb-09,2948.25,2953.2,2839.1,2848.5,246055796,5049.41
17-Feb-09,2853.85,2854.65,2757.3,2770.5,191473117,4495.99
18-Feb-09,2755.15,2806.5,2736.65,2776.15,214170731,4940.89
19-Feb-09,2776.7,2802.15,2767.6,2789.35,174587983,4162.96
