Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
1-Jan-01,1263.5,1276.15,1250.65,1254.3,60533274,2054.04
2-Jan-01,1254.25,1279.6,1248.55,1271.8,72271588,2396.31
3-Jan-01,1271.8,1293.55,1263.95,1291.25,99079153,3065.46
4-Jan-01,1291.3,1331.35,1291.3,1307.65,106441914,3483.97
5-Jan-01,1307.55,1330.3,1306.25,1327.25,98830568,3639.04
8-Jan-01,1327.35,1334.2,1303.35,1309.25,96096878,3651.15
9-Jan-01,1309.2,1323.4,1304.9,1311.65,90810817,3351.6
10-Jan-01,1311.65,1324.35,1285.3,1287.3,81319087,3241.99
11-Jan-01,1287.5,1296.75,1275.95,1280.4,83103723,2868.47
12-Jan-01,1280.45,1298.85,1279.4,1286.75,82041684,3175.14
15-Jan-01,1286.85,1295.2,1277.85,1286.75,73889684,2987.34
16-Jan-01,1287,1302.6,1279.85,1293.05,78828339,2446.32
17-Jan-01,1299.4,1312.35,1295.3,1297.9,72314744,2505.48
18-Jan-01,1297.95,1309.95,1297.95,1305.95,80942229,2877.32
19-Jan-01,1306,1333.5,1306,1329.1,107078787,3884.88
22-Jan-01,1329.3,1351.85,1329.3,1348,99483653,3431.75
23-Jan-01,1347.95,1362.05,1346.5,1355.2,98006531,3194.53
24-Jan-01,1355.35,1371.1,1355.35,1365.95,114566115,3539.69
25-Jan-01,1366.05,1374.2,1353.5,1370.1,108877172,3144.28
29-Jan-01,1368.55,1368.55,1312.1,1342.05,87201969,2558.29
30-Jan-01,1342.1,1382.55,1342.05,1379.7,96518544,3091.38
31-Jan-01,1385.85,1396.05,1369,1371.7,100053358,3146.87
1-Feb-01,1371.5,1373.5,1340.95,1359.15,111146242,3461.96
2-Feb-01,1359.1,1384.9,1355.3,1378.85,116258775,3694.61
5-Feb-01,1378.8,1392.15,1373.45,1382.6,99313910,2861.32
6-Feb-01,1382.7,1395.4,1382.7,1387.1,87855379,2481.57
7-Feb-01,1387.3,1391.85,1368.05,1370.8,113028665,3314.96
8-Feb-01,1370.65,1396.8,1365.05,1395.5,112780156,3337.81
9-Feb-01,1395.55,1416.3,1395.55,1405.7,145053047,4035.82
12-Feb-01,1405.7,1416.45,1397.6,1402.2,93541589,2633.92
