Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
1-Jan-04,1880.35,1917.05,1880.35,1912.25,102551958,2846.7
2-Jan-04,1912.25,1951.7,1911.05,1946.05,117079420,3407.72
5-Jan-04,1946.3,1969.2,1930.75,1955,129703252,4153.29
6-Jan-04,1955.1,1979.05,1908.75,1926.7,124014883,4331.43
7-Jan-04,1927.95,1930.95,1888.1,1916.75,119197257,4147.23
8-Jan-04,1918.1,1973.45,1918.1,1968.55,115681568,3707.92
9-Jan-04,1969,2014.65,1957.45,1971.9,153058574,5219.22
12-Jan-04,1972,1980.55,1936.75,1945.6,116680396,3798.33
13-Jan-04,1944.7,1967.85,1926.1,1963.6,109878698,3739.87
14-Jan-04,1987.4,1995.2,1970.1,1982.15,113207896,3931.87
15-Jan-04,1983.2,2000.3,1933.25,1944.45,121984544,4391.16
16-Jan-04,1944.15,1953.05,1887.1,1900.65,122454732,4310
19-Jan-04,1901.9,1943.1,1874.95,1935.35,120699191,3892.34
20-Jan-04,1928.8,1957.65,1876.85,1893.25,137946936,4262.71
21-Jan-04,1895.45,1899.55,1811.35,1824.6,142236140,4594.8
22-Jan-04,1824.7,1854.55,1756.25,1770.5,164347974,5409.25
23-Jan-04,1771.1,1858.5,1771.1,1847.55,130354915,4345.51
27-Jan-04,1847.9,1911.3,1844.65,1904.7,127781806,4122.15
28-Jan-04,1903.9,1918.45,1846.35,1863.1,153540516,5048.23
29-Jan-04,1863,1883.1,1827.25,1843.6,158143479,5404.84
30-Jan-04,1843.7,1860.4,1804.3,1809.75,137217319,4236.83
3-Feb-04,1809.3,1815.95,1755.65,1769,142154231,4535.66
4-Feb-04,1769.1,1829.65,1761.75,1822.2,152457977,4511.81
5-Feb-04,1823.5,1846.75,1787.15,1804.5,152934389,4955.89
6-Feb-04,1804.35,1837.95,1797.95,1833.65,119124927,4133.44
9-Feb-04,1834.9,1885.2,1833.05,1880.7,102126031,3583.16
