Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2-Jan-07,3966.25,4016.65,3964.95,4007.4,40789960,1929.76
3-Jan-07,4007.7,4029.8,3985,4024.05,63826475,3291.66
4-Jan-07,4027.3,4041,3979.8,3988.8,67096186,3446.19
5-Jan-07,3990.15,4011.45,3969.65,3983.4,69146575,3558.69
8-Jan-07,3983.3,3987.45,3913,3933.4,63615668,3590.08
9-Jan-07,3933.3,3963.75,3890.75,3911.4,65321592,3753.18
10-Jan-07,3910.95,3911.95,3841.7,3850.3,68470689,3892.68
11-Jan-07,3852.15,3953.1,3833.6,3942.25,83152375,5058.74
12-Jan-07,3944.55,4059.15,3944.55,4052.45,81362992,4727.43
15-Jan-07,4052.85,4099.65,4052.4,4078.4,81723925,4103.23
16-Jan-07,4090.7,4107.45,4067.9,4080.5,60251260,3626.6
17-Jan-07,4084.9,4096.75,4071.55,4076.45,59073863,3077.88
18-Jan-07,4075.2,4140.25,4075.2,4109.05,75646344,4020.61
19-Jan-07,4126,4137.15,4058.35,4090.15,85555366,4541.53
22-Jan-07,4089.6,4114.5,4069.95,4102.45,63758853,3514.19
23-Jan-07,4102.65,4105.1,4056.45,4066.1,80442797,3783.57
24-Jan-07,4066.6,4098.25,4065.75,4089.9,90298316,3760.9
25-Jan-07,4092.05,4157.95,4090.1,4147.7,130890355,5541.44
29-Jan-07,4148.4,4167.15,4115.75,4124.45,94946217,3998.53
31-Jan-07,4123.85,4137.85,4068.55,4082.7,114992600,5378.2
1-Feb-07,4083.4,4141.6,4081.1,4137.2,73460198,3409.67
2-Feb-07,4140.2,4198.7,4132.95,4183.5,92547027,4676.12
5-Feb-07,4193.15,4219,4170,4215.35,62178023,3381.35
6-Feb-07,4216.55,4228.15,4186.15,4195.9,64125214,3421.59
7-Feb-07,4198.2,4232.3,4192.85,4224.25,66702277,3804.96
8-Feb-07,4232,4245.3,4188.45,4223.4,69459583,3340.66
9-Feb-07,4223.5,4239.2,4171.8,4187.4,66107054,3610.6
12-Feb-07,4187.2,4187.2,4044.35,4058.3,91427563,3947.24
13-Feb-07,4069.1,4132.7,3998.3,4044.55,97888267,4496.49
14-Feb-07,4044.9,4057.35,3965.2,4047.1,82077938,4215.28
15-Feb-07,4046.8,4155.7,4046.8,4146.2,77344389,4115.85
19-Feb-07,4149.25,4177.7,4149.25,4164.55,59419122,2847.75
20-Feb-07,4164.85,4175.45,4099.55,4106.95,63235945,3038.13
21-Feb-07,4107.15,4132.8,4080.9,4096.2,72693724,3629.73
22-Feb-07,4096.65,4126.9,4023.15,4040,120932537,5953.76
23-Feb-07,4046,4065.45,3918.2,3938.95,91231906,4716.39
