Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
4-Jan-10,5200.9,5238.45,5167.1,5232.2,148652424,6531.61
5-Jan-10,5277.15,5288.35,5242.4,5277.9,240844424,7969.62
6-Jan-10,5278.15,5310.85,5260.05,5281.8,216147837,7892.6
7-Jan-10,5281.8,5302.55,5244.75,5263.1,181246734,6890.99
8-Jan-10,5264.25,5276.75,5234.7,5244.75,201910800,7777.04
11-Jan-10,5263.8,5287.2,5227.8,5249.4,238011959,11080.55
12-Jan-10,5251.1,5300.5,5200.95,5210.4,206748015,8648.49
13-Jan-10,5212.6,5239.2,5169.55,5233.95,200774550,8430.48
14-Jan-10,5234.5,5272.85,5232.5,5259.9,171282618,7824.43
15-Jan-10,5259.9,5279.85,5242.45,5252.2,167242355,6927.87
18-Jan-10,5253.65,5292.5,5228.95,5274.85,153687597,6659.87
19-Jan-10,5274.2,5287.8,5218.65,5225.65,141424524,6197.52
20-Jan-10,5226.1,5256.7,5201.4,5221.7,167867201,7170.51
21-Jan-10,5220.2,5220.35,5085.45,5094.15,190009431,7943.76
22-Jan-10,5094.15,5094.15,4954.85,5036,270251977,10414.08
25-Jan-10,5034.55,5035.7,4983.05,5007.9,166405391,5714.17
27-Jan-10,5008.5,5008.5,4833.05,4853.1,274773820,9800.33
28-Jan-10,4863,4929.9,4824.95,4867.25,275868897,10614.04
29-Jan-10,4866.15,4893.7,4766,4882.05,265191792,10116.63
1-Feb-10,4882.05,4918.8,4827.15,4899.7,226819473,7255.33
2-Feb-10,4907.85,4951.15,4814.1,4830.1,235090748,7927.05
3-Feb-10,4831,4949.15,4831,4931.85,163105434,6448.29
4-Feb-10,4931.3,4931.3,4832.35,4845.35,167815142,6169.35
5-Feb-10,4819.65,4827,4692.35,4718.65,222362365,7609.87
6-Feb-10,4712.75,4768.15,4712.75,4757.25,22091127,643.11
8-Feb-10,4755.35,4799.05,4675.4,4760.4,205364363,6823.11
9-Feb-10,4760.55,4810.4,4739.35,4792.65,175452494,5819.47
10-Feb-10,4793,4826.85,4748.1,4757.2,185053448,6196.72
11-Feb-10,4757.25,4843.8,4757.25,4826.85,142638466,4917.21
15-Feb-10,4827.9,4845.6,4783.9,4801.95,153758927,5004.68
16-Feb-10,4801.8,4880,4791.35,4855.75,156011235,5240.97
17-Feb-10,4858.65,4929.7,4857.6,4914,176502266,6291.08
18-Feb-10,4915.1,4922.05,4873.7,4887.75,193513235,5763.98
19-Feb-10,4887.3,4887.3,4805.55,4844.9,194311305,5737.99
22-Feb-10,4849.35,4912.05,4845.9,4856.4,149362400,4591.6
23-Feb-10,4856.6,4884.1,4833.15,4870.05,129233916,4617.62
24-Feb-10,4869.55,4880.55,4834.65,4858.6,141213476,4842.23
25-Feb-10,4859,4880.15,4835.6,4859.75,179443119,6427.68
26-Feb-10,4858.5,4992,4858.45,4922.3,341137163,10987.94
2-Mar-10,4935.6,5029.45,4935.35,5017,233127111,8468.18
3-Mar-10,5015.8,5093.25,5015.1,5088.1,191791765,7375.98
4-Mar-10,5096.95,5096.95,5049,5080.25,205104948,6826.25
5-Mar-10,5080.55,5118.65,5068.05,5088.7,209604746,6307.8
8-Mar-10,5092.15,5147.1,5092.15,5124,187964711,7130.87
9-Mar-10,5121.05,5131.8,5094.35,5101.5,158734706,6364.07
10-Mar-10,5101.6,5137.4,5092.05,5116.25,167174523,6445.89
11-Mar-10,5116.35,5152.6,5102.1,5133.4,155698046,5500.07
12-Mar-10,5131.8,5158.1,5122.1,5137,152561763,5927.11
15-Mar-10,5134.45,5151.05,5101.2,5128.9,134878673,5301.12
