Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2-Jan-17,8210.1,8212,8133.8,8179.5,122016111,5255.49
3-Jan-17,8196.05,8219.1,8148.6,8192.25,131186021,6053.67
4-Jan-17,8202.65,8218.5,8180.9,8190.5,136476345,6543.13
5-Jan-17,8226.65,8282.65,8223.7,8273.8,163957452,8180.68
6-Jan-17,8281.85,8306.85,8233.25,8243.8,143689850,7298.74
9-Jan-17,8259.35,8263,8227.75,8236.05,102211190,5197.62
10-Jan-17,8262.7,8293.8,8261,8288.6,147312927,6904.57
11-Jan-17,8327.8,8389,8322.25,8380.65,192285417,8938.68
12-Jan-17,8391.05,8417.2,8382.3,8407.2,177948383,7359.24
13-Jan-17,8457.65,8461.05,8373.15,8400.35,190949616,9156.16
16-Jan-17,8390.95,8426.7,8374.4,8412.8,127938836,6043.67
17-Jan-17,8415.05,8440.9,8378.3,8398,125781216,6389.21
18-Jan-17,8403.85,8460.3,8397.4,8417,168867039,7411.23
19-Jan-17,8418.4,8445.15,8404.05,8435.1,170956149,7324.14
20-Jan-17,8404.35,8423.65,8340.95,8349.35,208901233,9014.51
23-Jan-17,8329.6,8404.15,8327.2,8391.5,200993100,8664.94
24-Jan-17,8407.05,8480.95,8398.15,8475.8,184745781,8524.17
25-Jan-17,8499.45,8612.6,8493.95,8602.75,301490150,13901.89
27-Jan-17,8610.5,8672.7,8606.9,8641.25,283905821,11568.92
30-Jan-17,8635.55,8662.6,8617.75,8632.75,314110760,9333.49
31-Jan-17,8629.45,8631.75,8552.4,8561.3,537110119,14721.17
1-Feb-17,8570.35,8722.4,8537.5,8716.4,337797412,13494.05
2-Feb-17,8724.75,8757.6,8685.8,8734.25,292329202,11555.02
3-Feb-17,8735.15,8748.25,8707.75,8740.95,196936238,8193.45
6-Feb-17,8785.45,8814.1,8770.2,8801.05,200403782,8701.51
7-Feb-17,8805.7,8809.3,8741.05,8768.3,233294532,9060.63
8-Feb-17,8774.55,8791.25,8715,8769.05,225485726,9110.24
9-Feb-17,8795.55,8821.4,8724.1,8778.4,193282248,8972.67
10-Feb-17,8812.35,8822.1,8771.2,8793.55,232947341,10320.17
13-Feb-17,8819.8,8826.9,8754.2,8805.05,211180353,8659.48
14-Feb-17,8819.9,8820.45,8772.5,8792.3,194133563,8494.44
15-Feb-17,8778.95,8807.9,8712.85,8724.7,222828919,10472.37
16-Feb-17,8739,8783.95,8719.6,8778,190277738,9695.63
17-Feb-17,8883.7,8896.45,8804.25,8821.7,307526025,23432.58
20-Feb-17,8818.55,8886.25,8809.8,8879.2,173022362,7833.53
21-Feb-17,8890.75,8920.8,8860.95,8907.85,181091326,8863.71
22-Feb-17,8931.6,8960.75,8905.25,8926.9,254677956,13514.08
23-Feb-17,8956.4,8982.15,8927.55,8939.5,388874096,17243.08
27-Feb-17,8943.7,8951.8,8888.65,8896.7,195847099,10388.83
28-Feb-17,8898.95,8914.75,8867.6,8879.6,302722890,13819.57
1-Mar-17,8904.4,8960.8,8898.6,8945.8,212328974,9681.99
2-Mar-17,8982.85,8992.5,8879.8,8899.75,225608140,10075.19
3-Mar-17,8883.5,8907.1,8860.1,8897.55,208915878,9783.57
6-Mar-17,8915.1,8967.8,8914,8963.45,180194586,8955.06
7-Mar-17,8977.75,8977.85,8932.8,8946.9,178827506,8149.28
8-Mar-17,8950.7,8957.05,8891.95,8924.3,183325544,9489.36
