Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2-Jan-12,4640.2,4645.95,4588.05,4636.75,108460668,3590.96
3-Jan-12,4675.8,4773.1,4675.8,4765.3,146621115,5021.29
4-Jan-12,4774.95,4782.85,4728.85,4749.65,165938849,5661.16
5-Jan-12,4749,4779.8,4730.15,4749.95,177862936,5873.79
6-Jan-12,4724.15,4794.9,4686.85,4754.1,176057282,5234.69
7-Jan-12,4755.6,4759.4,4743.05,4746.9,18783880,414.88
9-Jan-12,4747.55,4758.7,4695.45,4742.8,147534537,4548.3
10-Jan-12,4771.85,4855.9,4768.25,4849.55,201661174,6222.27
11-Jan-12,4863.15,4877.2,4841.6,4860.95,209079758,6364
12-Jan-12,4840.95,4869.2,4803.9,4831.25,183068697,7271.44
13-Jan-12,4861.95,4898.85,4834.2,4866,230940604,7117.5
16-Jan-12,4844,4880.8,4827.05,4873.9,160479891,5297.89
17-Jan-12,4904.5,4975.55,4904,4967.3,223004183,7170.72
18-Jan-12,4977.75,4980.65,4931.05,4955.8,211198796,7424.79
19-Jan-12,4995,5023.8,4991.4,5018.4,203487608,6634.33
20-Jan-12,5044.85,5064.15,5004.3,5048.6,221048007,8120.35
23-Jan-12,5025.35,5059.55,5021.35,5046.25,158177571,5934.04
24-Jan-12,5064.8,5141.05,5049.8,5127.35,202006565,8172.43
25-Jan-12,5151.5,5174.15,5130.25,5158.3,219175709,8156.04
27-Jan-12,5216.75,5217,5162.4,5204.7,215923377,7881.15
30-Jan-12,5163.55,5166.15,5076.7,5087.3,181141437,6181.32
31-Jan-12,5125.25,5215.4,5120.15,5199.25,215770719,8075.54
1-Feb-12,5198.15,5244.6,5159,5235.7,234899358,8066.68
2-Feb-12,5272.1,5289.95,5225.75,5269.9,337960651,11126.39
3-Feb-12,5276.1,5334.85,5255.55,5325.85,217358188,7573.02
6-Feb-12,5379.45,5390.05,5327.25,5361.65,215080487,7703.06
7-Feb-12,5412.95,5413.35,5322.95,5335.15,181194561,6797.14
8-Feb-12,5343.8,5396.9,5325.2,5368.15,236135416,9359.98
9-Feb-12,5343.05,5423.4,5338.9,5412.35,255306965,8143.96
10-Feb-12,5399.8,5427.75,5341.05,5381.6,225352093,7396.34
13-Feb-12,5382.1,5421.05,5351.4,5390.2,181561910,6738
14-Feb-12,5380.8,5428.05,5377.95,5416.05,201409996,6693.43
15-Feb-12,5460.6,5542.1,5460.6,5531.95,314366096,9958.28
16-Feb-12,5513.75,5531.4,5483.75,5521.95,270060477,9053.45
17-Feb-12,5574.2,5606.7,5545.2,5564.3,329307516,11512.01
21-Feb-12,5561.9,5621.5,5561.75,5607.15,231132126,8169.38
22-Feb-12,5609.75,5629.95,5491.35,5505.35,263013427,9694.44
23-Feb-12,5490.05,5537.4,5460.8,5483.3,307246519,9987.65
24-Feb-12,5479.15,5521.4,5405.9,5429.3,364660634,17356.76
27-Feb-12,5448.1,5449.8,5268.15,5281.2,235318961,7706.81
28-Feb-12,5310.5,5391.1,5306.45,5375.5,208133889,7815.9
29-Feb-12,5424.95,5458.8,5352.25,5385.2,226022232,8454.41
1-Mar-12,5366,5372.45,5297.5,5339.75,196867905,6847.63
2-Mar-12,5369.45,5392.55,5315.05,5359.35,185021526,6768.52
3-Mar-12,5360.05,5369.6,5353.4,5359.4,16770991,429.35
5-Mar-12,5342.55,5344.5,5265.7,5280.35,196421155,6036.63
6-Mar-12,5266,5382.05,5206.4,5222.4,290396014,9319.01
7-Mar-12,5207.05,5243.85,5171.45,5220.45,230726017,7173.14
9-Mar-12,5294.1,5342.3,5291.6,5333.55,203005845,7080.66
12-Mar-12,5420.1,5421.9,5327.3,5359.55,176668237,6484.38
13-Mar-12,5391.05,5438.65,5390.8,5429.5,179965296,5907.14
14-Mar-12,5490.55,5499.4,5437.8,5463.9,181714070,7345.67
15-Mar-12,5462.5,5462.5,5362.3,5380.5,160257651,5961.15
16-Mar-12,5380.35,5445.65,5305,5317.9,267521147,9432.07
19-Mar-12,5337.35,5340.7,5238.55,5257.05,179877454,6275.89
20-Mar-12,5257.15,5297.35,5233.25,5274.85,181345285,6158
21-Mar-12,5267.2,5372.35,5256,5364.95,199787985,6807.02
22-Mar-12,5361.1,5385.95,5205.65,5228.45,205581062,7359.89
23-Mar-12,5255.65,5312,5220,5278.2,172738574,6371.46
26-Mar-12,5274.35,5274.95,5174.9,5184.25,169785835,5582.28
27-Mar-12,5242.95,5277.95,5184.65,5243.15,208775421,7445.92
28-Mar-12,5231.7,5236.55,5169.6,5194.75,145803597,5411.63
29-Mar-12,5145.95,5194.3,5135.95,5178.85,242557889,8632.05
30-Mar-12,5206.6,5307.1,5203.65,5295.55,164790056,6082.93
2-Apr-12,5296.35,5331.55,5278.8,5317.9,134538287,4583.68
3-Apr-12,5353.2,5378.75,5344.45,5358.5,152496489,5256.86
4-Apr-12,5328.65,5338.4,5305.3,5322.9,122106162,4084.37
9-Apr-12,5282.5,5287.9,5228,5234.4,111914936,3680.04
10-Apr-12,5254.1,5255.8,5211.85,5243.6,156106794,4886.48
11-Apr-12,5209.45,5263.65,5190.8,5226.85,167013527,5585.7
12-Apr-12,5246.75,5290.6,5246.75,5276.85,152684788,5457.29
13-Apr-12,5255.7,5306.75,5185.4,5207.45,164225858,7989.27
16-Apr-12,5190.6,5233.5,5183.5,5226.2,119730347,5165.7
17-Apr-12,5266.6,5298.2,5208.35,5289.7,178895417,7416.66
18-Apr-12,5320.7,5342,5293.45,5300,152743439,5665.77
19-Apr-12,5320.6,5342.45,5291.3,5332.4,133549895,5313.33
20-Apr-12,5313.95,5336.15,5245.45,5290.85,135252751,5086.54
23-Apr-12,5277.4,5310.55,5187.15,5200.6,138042341,5065.27
24-Apr-12,5215.9,5232.35,5180.35,5222.65,155674654,7362.66
25-Apr-12,5222.2,5236.1,5160.65,5202,142910739,5968.34
26-Apr-12,5214.75,5215.6,5179.05,5189,185899437,6408.49
27-Apr-12,5189,5223.05,5154.3,5190.6,128759445,5734.59
28-Apr-12,5209.6,5216.4,5196.35,5209,6555703,297.89
30-Apr-12,5201.45,5262.15,5201.45,5248.15,108138550,4610.4
2-May-12,5254.3,5279.6,5226.45,5239.15,119333288,4815.08
3-May-12,5211.2,5217.3,5180.65,5188.4,118573998,5488.9
4-May-12,5166.65,5177.2,5070.6,5086.85,153304687,6507.5
7-May-12,5017.8,5124.75,4988,5114.15,168271798,6787.08
8-May-12,5114.7,5119.95,4983.6,4999.95,164262546,6233.26
9-May-12,4967.9,5016.25,4956.45,4974.8,180441209,6558.78
10-May-12,4984.15,5039.3,4950.3,4965.7,141031231,5430.14
11-May-12,4938.85,4976.25,4906.15,4928.9,138526070,5061.57
14-May-12,4934.35,4957.2,4874.5,4907.8,126951751,5291.93
15-May-12,4869.85,4955.2,4868.55,4942.8,142119571,5491.24
16-May-12,4875.3,4882.25,4837.05,4858.25,165048505,6316.66
17-May-12,4878.6,4922.25,4850.2,4870.2,155654031,5745.51
18-May-12,4796.4,4908.5,4788.95,4891.45,154508649,6447.08
21-May-12,4888.5,4937.5,4888.5,4906.05,116506971,4527.67
22-May-12,4954.7,4956.35,4849.9,4860.5,130808278,5074.37
23-May-12,4843,4853.75,4803.95,4835.65,136108067,4854.15
24-May-12,4863.4,4931.9,4830.15,4921.4,140474832,5012.08
25-May-12,4905.95,4935.8,4889.35,4920.4,118191157,4398.09
28-May-12,4931.7,4994.95,4931.3,4985.65,97260991,3983.53
29-May-12,5005.35,5020.15,4982.15,4990.1,124219839,4923.56
30-May-12,4964.25,4982.25,4944.9,4950.75,146005250,5374.65
31-May-12,4896.1,4949.25,4883.55,4924.25,296911390,10662.01
1-Jun-12,4910.85,4925,4831.75,4841.6,138767416,4989.22
4-Jun-12,4797.3,4858.3,4770.35,4848.15,152339865,5143.54
5-Jun-12,4869.45,4898.95,4847.7,4863.3,141476962,5016.41
6-Jun-12,4886.65,5010.45,4886.15,4997.1,185340406,7188.42
7-Jun-12,5035.35,5059.65,5007.75,5049.65,150558164,6077.37
8-Jun-12,5044.25,5084.45,4994.8,5068.35,138389395,5249.81
11-Jun-12,5096.7,5124.45,5040.7,5054.1,125615102,4813.82
12-Jun-12,5015.5,5128.9,5015.15,5115.9,135478015,5205.9
13-Jun-12,5117.55,5144.9,5095.45,5121.45,125668126,5287.08
14-Jun-12,5105.1,5130,5047.6,5054.75,118353366,4751.86
15-Jun-12,5069.55,5146.2,5069.15,5139.05,155437144,5944
18-Jun-12,5174,5190.2,5041.7,5064.25,153461067,6005.83
19-Jun-12,5050.8,5113.6,5048.1,5103.85,149416155,5336.22
20-Jun-12,5114.55,5141.7,5100.7,5120.55,160505645,5313.6
21-Jun-12,5097.35,5170.4,5093.45,5165,142992948,5558.56
22-Jun-12,5101.75,5159.8,5094,5146.05,159747192,5500.44
25-Jun-12,5158.5,5194.6,5105.65,5114.65,123503010,4894.04
26-Jun-12,5107.45,5134.55,5095.5,5120.8,99404566,4119.69
27-Jun-12,5149.45,5160.1,5129.25,5141.9,112269218,4238.62
28-Jun-12,5148.95,5159.05,5125.3,5149.15,143073791,5597.52
29-Jun-12,5191.25,5286.25,5189,5278.9,226523598,8461.24
2-Jul-12,5283.85,5302.15,5263.35,5278.6,126161441,4991.57
3-Jul-12,5298.85,5317,5265.95,5287.95,133117055,5161.82
4-Jul-12,5310.4,5317.65,5273.3,5302.55,155995887,5750.1
5-Jul-12,5297.05,5333.65,5288.85,5327.3,118915392,4709.79
6-Jul-12,5324.7,5327.2,5287.75,5316.95,113300726,4760.51
9-Jul-12,5283.7,5300.6,5257.75,5275.15,101169926,4189.25
10-Jul-12,5286.6,5348.55,5284.55,5345.35,123947633,5024.13
11-Jul-12,5315.25,5336.45,5300.25,5306.3,113530679,5086.98
12-Jul-12,5240,5261.75,5217.7,5235.25,131190833,6193.59
13-Jul-12,5242.75,5267.15,5216.85,5227.25,99045088,4451.9
16-Jul-12,5232.35,5246.85,5190.45,5197.25,106313144,4283.22
17-Jul-12,5228.05,5236.7,5181.7,5192.85,111768115,4719.2
18-Jul-12,5199.1,5222.85,5169.05,5216.3,109647297,4759.52
19-Jul-12,5249.85,5257.75,5233.15,5242.7,109769282,5494.99
20-Jul-12,5233.55,5238.7,5197.5,5205.1,89729408,4527.89
23-Jul-12,5163.25,5164.2,5108.1,5117.95,104770324,4394.24
24-Jul-12,5128.8,5144,5103.25,5128.2,116516931,4567.2
25-Jul-12,5118.4,5121.6,5076.6,5109.6,130965621,4654.17
26-Jul-12,5126.3,5126.3,5032.4,5043,180131639,6920.23
27-Jul-12,5124.3,5149.95,5077.5,5099.85,131948378,5828.12
30-Jul-12,5129.75,5206.6,5129.75,5199.8,117523733,5278.7
31-Jul-12,5214.85,5234.55,5154.05,5229,147059808,6254.67
1-Aug-12,5220.7,5246.35,5212.65,5240.5,113815730,4408.19
2-Aug-12,5233.1,5236.9,5209.95,5227.75,92972386,3699.59
3-Aug-12,5195.6,5220.2,5164.65,5215.7,112918653,4213.76
6-Aug-12,5260.85,5293.2,5260.85,5282.55,103148076,4271.5
7-Aug-12,5295.4,5350.1,5281.65,5336.7,130431591,5226.33
8-Aug-12,5345.25,5377.6,5331.05,5338,165954895,6069.12
9-Aug-12,5348.3,5368.2,5312.1,5322.95,181419777,6763.23
10-Aug-12,5308.2,5330.1,5294.1,5320.4,130090985,6540.77
13-Aug-12,5316.35,5352.45,5309.05,5347.9,107578773,4678.33
14-Aug-12,5343.25,5387.05,5328.8,5380.35,109794400,4742.47
16-Aug-12,5385.95,5390.65,5356.65,5362.95,133996943,5285.5
17-Aug-12,5368.6,5399.95,5341.7,5366.3,134985473,5262.34
21-Aug-12,5368.7,5425.15,5368.7,5421,124343357,4986.5
22-Aug-12,5395.75,5433.35,5394.8,5412.85,103103501,4156.18
23-Aug-12,5426.15,5448.6,5393.85,5415.35,127995889,5462.34
24-Aug-12,5392.6,5399.65,5371,5386.7,114346965,4520.37
27-Aug-12,5387.85,5399.15,5346.65,5350.25,89987572,3882.41
28-Aug-12,5348.05,5359.25,5312.6,5334.6,123683723,4771
29-Aug-12,5343.85,5345.5,5282.7,5287.8,157470632,4581.21
30-Aug-12,5268.6,5342.8,5255.05,5315.05,226494000,8374.69
31-Aug-12,5298.2,5303.25,5238.9,5258.5,167393902,6600.58
3-Sep-12,5276.5,5295.8,5243.15,5253.75,110380869,4015.55
4-Sep-12,5249.15,5278.35,5233.2,5274,106316880,3726.52
5-Sep-12,5243.9,5259.5,5215.7,5225.7,126162071,4904.68
6-Sep-12,5217.65,5260.6,5217.65,5238.4,134008569,4622.16
7-Sep-12,5309.45,5347.15,5309.2,5342.1,149584722,5590.04
8-Sep-12,5343.65,5366.3,5343.45,5358.7,11221064,376.34
10-Sep-12,5361.9,5375.45,5349.1,5363.45,109607506,4183.01
11-Sep-12,5336.1,5393.35,5332.1,5390,112878090,4081.42
12-Sep-12,5404.45,5435.55,5393.95,5431,139920871,4885.71
