Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
1-Jan-02,1058.85,1071.15,1052.05,1055.3,43951938,1316.25
2-Jan-02,1054.95,1065.25,1054.1,1060.75,49608297,1396.19
3-Jan-02,1063.45,1074.85,1062.9,1072.25,61870889,1744.94
4-Jan-02,1072.4,1099.25,1072.4,1096.2,74407831,1934.64
7-Jan-02,1093.05,1111.55,1093.05,1100.15,61389127,1703.56
8-Jan-02,1100.55,1114.55,1097.9,1109.9,67831569,2138.41
9-Jan-02,1110,1119.4,1098.7,1102.8,74868151,2201.97
10-Jan-02,1098.8,1105.35,1093.6,1098.2,68965273,2360.41
11-Jan-02,1098.15,1105.9,1073.45,1088.55,71147237,2173.36
14-Jan-02,1089.45,1118.5,1089.45,1109.8,60424974,1789.75
15-Jan-02,1109.45,1112.6,1090.2,1094.15,55221142,1570.92
16-Jan-02,1094.15,1104.8,1085.3,1090.3,59753435,1845.23
17-Jan-02,1090.25,1116.05,1078.95,1109.2,83524489,2598.76
18-Jan-02,1109.55,1121.75,1089.05,1093.15,84626074,2710.84
21-Jan-02,1093.25,1099.8,1082.65,1091.35,64348299,2078.74
22-Jan-02,1091.35,1099,1090,1092.85,55745783,1721.96
23-Jan-02,1092.85,1096.95,1087.5,1089.4,53732790,1536.95
24-Jan-02,1089.6,1098.6,1081.7,1085.3,47718204,1359.92
25-Jan-02,1085.85,1089.7,1077,1080.1,59839751,1857.72
28-Jan-02,1083.25,1088.75,1068.7,1071.35,49771696,1473.84
29-Jan-02,1071.35,1076.45,1068.85,1071.65,58946386,1775.15
30-Jan-02,1072.85,1072.85,1058.8,1067.45,50687169,1458.15
31-Jan-02,1067.65,1082,1067.65,1075.4,66028228,1997.32
1-Feb-02,1076.95,1088.05,1076.95,1081.65,58399504,1616.41
4-Feb-02,1083.05,1086.95,1074.15,1076.9,57892596,1400.92
5-Feb-02,1076.25,1081.2,1069.4,1074.25,68534066,1595.08
6-Feb-02,1074.4,1117.1,1074,1113.1,73870009,1911.33
7-Feb-02,1114.85,1130.95,1104.3,1110.45,93831069,2651.59
8-Feb-02,1112.8,1131.85,1104.45,1123.75,73014449,2153.26
11-Feb-02,1124.85,1144.15,1124.85,1131.55,61164119,1679.05
12-Feb-02,1131.95,1143.3,1125.55,1129.5,59329834,1569.26
13-Feb-02,1129.8,1142.3,1129.6,1135.1,55749416,1591.08
14-Feb-02,1135.5,1151.65,1133.85,1150,60597908,1387.05
15-Feb-02,1150.65,1164.1,1150.3,1159.95,67681171,1569.86
18-Feb-02,1159.85,1177.05,1156.7,1172.85,59695028,1480.5
19-Feb-02,1172.85,1178.1,1155.1,1158.9,59280466,1555.36
20-Feb-02,1158.45,1158.45,1134.65,1145.95,49629349,1229.68
21-Feb-02,1146.05,1158.05,1146.05,1149.85,34460898,934.29
22-Feb-02,1149.85,1165.7,1145.5,1163.5,53387825,1317.89
25-Feb-02,1163.65,1167.6,1155.45,1165.45,51745981,1276
26-Feb-02,1165.75,1192.65,1165.75,1189.4,66999666,1742.18
27-Feb-02,1190.15,1205.95,1180,1189.2,76052450,2018.96
28-Feb-02,1189.6,1197,1135.2,1142.05,104258064,2671.53
1-Mar-02,1142.05,1181.25,1135.45,1178,68816352,1732.19
4-Mar-02,1178.45,1201.1,1172.3,1177.35,74298964,1806.94
5-Mar-02,1176.4,1193.1,1175.15,1178.5,63428456,1837.13
6-Mar-02,1176.55,1182.65,1162.75,1172.6,61487666,1648.34
7-Mar-02,1173.6,1195.2,1173.6,1193.05,50206347,1752.93
8-Mar-02,1193.6,1199.6,1182.55,1187.65,50281539,1845.85
11-Mar-02,1187.5,1192.75,1164.55,1167.85,50588345,1743.51
12-Mar-02,1167.85,1171.2,1144.3,1150.45,50380999,1656.58
13-Mar-02,1150.2,1165.4,1143.55,1157.05,41957225,1363.71
14-Mar-02,1156.85,1163.65,1153.15,1159.45,31818825,1039.49
15-Mar-02,1159.6,1173.75,1159.6,1169.75,61764394,1706.23
18-Mar-02,1169.95,1184.7,1163.75,1169.3,44598134,1257.97
19-Mar-02,1169.4,1170.8,1150.3,1152.15,40006138,1157.44
20-Mar-02,1152.05,1158.95,1148.5,1155.6,41282550,1233.28
21-Mar-02,1155.55,1155.55,1141.05,1144.2,32471168,964.3
22-Mar-02,1144.5,1148.65,1135.9,1138.45,36787369,1091.75
26-Mar-02,1138.1,1140.2,1117.85,1123.05,32691866,964.1
27-Mar-02,1130,1134.1,1121.35,1123.35,41551364,1115.18
28-Mar-02,1123.6,1138.45,1123.6,1129.55,55362083,1423.51
1-Apr-02,1129.85,1143.3,1129.85,1138.95,41464447,1116.79
2-Apr-02,1138.8,1147.3,1132.3,1136.95,50733525,1401.11
3-Apr-02,1136.6,1136.9,1121.45,1123.5,39862825,1031.04
4-Apr-02,1124.05,1149.65,1123.9,1145.9,49472486,1388.14
5-Apr-02,1146.05,1153.3,1139.9,1141.95,40192567,1133.81
8-Apr-02,1141.9,1147.9,1134,1135.25,31263947,916.74
9-Apr-02,1135.15,1137.45,1122.1,1126.7,37258542,1088.52
10-Apr-02,1126.7,1140.25,1125.75,1138.5,48371804,1747.31
11-Apr-02,1138.55,1150.2,1138.55,1143.6,48509919,1680.95
12-Apr-02,1143.25,1151.55,1138.65,1146.5,38866977,1226.92
15-Apr-02,1146.55,1152.55,1130.45,1134.15,32838768,1119.35
16-Apr-02,1130.8,1133.5,1116.65,1118.75,32533210,1046.74
17-Apr-02,1119,1136.6,1118.95,1125.1,34383746,1259.69
18-Apr-02,1125.25,1135,1123.8,1129,34219373,1148.19
19-Apr-02,1125.55,1127.05,1097.6,1100.3,42127555,1325.67
22-Apr-02,1100.5,1107.2,1088.05,1104.15,38335333,1184.78
23-Apr-02,1104,1108.8,1095,1106,39715536,1259.14
24-Apr-02,1106.25,1116.85,1105.7,1110.6,40697311,1144.37
25-Apr-02,1110.65,1113.85,1089,1094.3,44989860,1186.51
26-Apr-02,1094.25,1103.35,1094.1,1097.4,30866979,946.98
29-Apr-02,1097.55,1098.65,1073.3,1074.2,41590165,1102.62
30-Apr-02,1074.25,1085.75,1073.4,1084.5,35796410,972.43
2-May-02,1084.8,1101.1,1084.8,1093.3,44413724,1325.68
3-May-02,1093.4,1098.6,1091.5,1096.95,34201217,874.44
6-May-02,1096.95,1102.05,1096.25,1100.95,33065194,939.03
7-May-02,1100.9,1111.85,1096.65,1110.7,34359853,951.77
8-May-02,1110.7,1122.7,1110.7,1117.6,38154848,1035.47
9-May-02,1117.7,1136.55,1117.7,1127.6,41844601,1091.86
10-May-02,1127.05,1127.3,1111.15,1116.4,39471255,949.49
13-May-02,1116.8,1121.95,1114.2,1119.65,35779577,908.75
14-May-02,1119.95,1125.95,1111.45,1115.1,45786733,1113.3
15-May-02,1115.15,1121.5,1102.65,1107.8,43830185,1228.27
16-May-02,1108.25,1111.25,1089.85,1092.8,48839381,1212.07
17-May-02,1092.8,1099.75,1079.95,1090.65,55619999,1313.48
20-May-02,1091.7,1097.95,1071.35,1074.35,43649853,1039
21-May-02,1074.75,1074.85,1028.25,1049.2,69838950,1594.03
22-May-02,1049.5,1050.9,1035.5,1045.3,50691915,1316.28
23-May-02,1045.2,1045.35,1024.3,1026.75,40362927,1053.86
24-May-02,1026.9,1069.2,1026.9,1067,51001192,1313.52
27-May-02,1067,1071.5,1054.1,1062.7,45839909,1221.77
28-May-02,1061.9,1062.3,1034.1,1038.2,47296910,1255.7
29-May-02,1038.2,1047.95,1026.5,1041.65,59425589,1609.57
30-May-02,1041.4,1049.95,1030.1,1032.15,56754281,1375.88
31-May-02,1032.5,1037.7,1020.1,1028.8,48912840,1410.37
3-Jun-02,1029.25,1047.25,1029.25,1039.75,35078791,965.33
4-Jun-02,1040.15,1047.4,1036.55,1045.4,31085674,826.65
5-Jun-02,1045.55,1067.5,1045,1064.2,48382002,1242.79
6-Jun-02,1064.15,1072,1055.5,1064.35,49917727,1214.73
7-Jun-02,1063.75,1063.75,1044.35,1048.8,34431823,1040.09
10-Jun-02,1049.95,1072.5,1049.95,1069.9,36192600,920.75
11-Jun-02,1070.95,1099.5,1070.55,1097.05,57802224,1366.89
12-Jun-02,1097.15,1100.45,1088.5,1092.8,45733083,1102.81
13-Jun-02,1093,1102.05,1080.8,1082.85,36920383,1022.39
14-Jun-02,1081.75,1087.6,1079.45,1085.7,45124098,1083.03
17-Jun-02,1085.8,1097.55,1085.7,1088.9,35014054,808.88
18-Jun-02,1088.9,1097.4,1073.75,1074.95,38285735,998.81
19-Jun-02,1074.7,1079.2,1056.45,1062.9,46367417,1301.88
20-Jun-02,1063.1,1074,1056.25,1070.05,44432596,1178.65
21-Jun-02,1069.5,1069.8,1058.95,1062.55,36400989,971.51
24-Jun-02,1065.6,1065.6,1054.45,1061.85,28998464,794.71
25-Jun-02,1061.9,1063.3,1048.55,1055.4,48986465,1232.46
26-Jun-02,1055.35,1061.05,1042.2,1044.2,38081458,1045.71
27-Jun-02,1044.5,1053.7,1044,1048.55,50093269,1332.19
28-Jun-02,1049.4,1068.9,1049.4,1057.8,42669654,1093.41
1-Jul-02,1058,1070.15,1058,1068.95,31615730,832.49
2-Jul-02,1067.9,1071.7,1064.95,1068.05,42057870,1056.49
3-Jul-02,1067.8,1074,1065.55,1069.9,39630859,1200.01
4-Jul-02,1069.95,1078.55,1068.4,1070.55,39803828,1224.05
5-Jul-02,1071,1076.2,1067.45,1073.8,31658677,969.3
8-Jul-02,1074,1085.3,1072.9,1082.05,41663659,1144.66
9-Jul-02,1081.9,1083.65,1077.55,1080.3,39642048,1060.63
10-Jul-02,1081.55,1087.4,1069.45,1071.7,40196542,1334.66
11-Jul-02,1070.95,1070.95,1055.3,1056.6,36454257,1056.44
12-Jul-02,1057.1,1064.9,1054.9,1058.25,31397210,926.29
15-Jul-02,1057.95,1058.45,1043.3,1048,30059725,812.75
16-Jul-02,1047.9,1051.85,1033.95,1035.95,41557411,1137.86
17-Jul-02,1035.95,1037.5,1025,1032.55,36540126,983.95
18-Jul-02,1032.55,1044,1032.55,1041.3,32852208,1005.88
19-Jul-02,1041.35,1041.5,1032.25,1035.9,38248003,1027.11
22-Jul-02,1035.2,1035.2,1009,1012,38097742,1152.95
23-Jul-02,1012.05,1023.65,1005.75,1021.9,48047033,1388.14
24-Jul-02,1021.8,1022.2,1001.9,1004.05,43163651,1267.89
25-Jul-02,1004.2,1021.3,997.85,1001.55,77644954,1953.04
26-Jul-02,1001.05,1001.05,972.55,973.5,59582074,1477.41
29-Jul-02,973,977.95,953.15,971.65,55206523,1304.44
30-Jul-02,973,987.5,956.8,960.65,54986098,1337.34
31-Jul-02,960.3,964.1,943.6,958.9,58530809,1340.32
1-Aug-02,959.2,972.05,954.15,957.7,43346922,983.78
2-Aug-02,957.55,957.55,935.55,954.75,42399615,1008.81
5-Aug-02,954.9,966.5,953.9,963.25,42315175,996.1
6-Aug-02,963.3,969.55,955.4,966.65,40644012,960.16
7-Aug-02,967.7,978.6,966.55,969.1,44116134,1120.77
8-Aug-02,969.15,971.75,951.2,953.55,42631668,1020.17
9-Aug-02,953.8,963.85,948,961.95,53339216,1270.86
12-Aug-02,961.15,971.55,961.15,969.85,38876795,958.44
13-Aug-02,970.4,977.2,969.9,976.05,26756958,632.35
14-Aug-02,976.05,976.25,967.25,969.65,40794287,940.47
16-Aug-02,970.75,981.2,968.35,979.25,33890407,876.07
19-Aug-02,979.4,983.55,978.2,979.85,29704038,751.33
20-Aug-02,979.75,990.85,979.05,988.55,41504172,1034.75
21-Aug-02,988.6,994.25,984.35,988.45,55111392,1370.13
22-Aug-02,988.55,995.3,983.45,985.7,40653997,1136.47
23-Aug-02,985.75,996.4,984.7,995.2,39913412,1375.13
26-Aug-02,992.4,1001.45,986.15,998.85,45092815,1204.89
27-Aug-02,998.85,1003.3,985.7,987.7,54473165,1644.85
28-Aug-02,987.35,988.1,981.1,985.7,44209404,1160.35
29-Aug-02,985.85,989.4,981.45,987.25,75078066,1891.68
30-Aug-02,987.65,1012.75,986.7,1010.6,70534773,1721.88
2-Sep-02,1010.9,1024.65,1010.85,1013.5,56393644,1336.13
3-Sep-02,1013.65,1014.8,999.4,1001.1,44809812,1118.01
4-Sep-02,1000.7,1008.8,990.85,1006.95,53158549,1352.68
5-Sep-02,1006.9,1013.45,1004.2,1008.6,57436407,1667
6-Sep-02,1008.45,1008.45,992.7,995.2,45009048,1328.48
9-Sep-02,992.05,1005.85,985.25,998.55,51864825,1597.74
11-Sep-02,998.6,1002.35,993.35,998.85,44180814,1410.78
12-Sep-02,998.95,1005.15,998.8,1001.65,43058940,1106.25
13-Sep-02,1001.4,1001.4,989.85,992,31250206,871.92
16-Sep-02,991.75,997,983.55,985.75,30548896,889.45
17-Sep-02,985.75,996.8,985.75,994.9,35811735,1034.67
18-Sep-02,994.15,994.15,981.6,983.6,35931214,1097.64
19-Sep-02,983.45,985.25,970.8,976.05,40460954,1186.45
20-Sep-02,975.6,975.6,960.7,969.6,46970014,1149.06
23-Sep-02,969.85,974.75,967.35,970.3,39800308,1081.1
24-Sep-02,969.95,969.95,960.2,966.2,40927813,1079.52
25-Sep-02,964.65,971.85,960.5,970.05,44112468,1183.02
26-Sep-02,970.1,976.25,968.25,969.9,29510252,857.92
27-Sep-02,969.95,978,969.25,976.45,48529490,1282.19
30-Sep-02,976.15,976.15,961.55,963.15,38959112,1028.47
1-Oct-02,961.15,964.2,950.3,955.2,43093930,1205.37
3-Oct-02,955.35,957.9,945.8,948.2,41043857,1163.05
4-Oct-02,948.1,951.8,944.5,948.2,44508105,1109.34
7-Oct-02,947.8,956.35,946.25,954.75,40189307,960.94
8-Oct-02,954.8,963.15,952.5,960.8,54859797,1335.5
9-Oct-02,960.85,968.75,952.95,954.75,46565044,1223.39
10-Oct-02,954.8,960.45,945,958.45,47794544,1695.98
11-Oct-02,958.45,973.5,958.45,971.05,50971734,1536.74
14-Oct-02,971.5,976.5,969,972.45,40659614,1371.41
16-Oct-02,972.9,983.6,971.7,973.6,49810083,1547.95
17-Oct-02,973.7,976.05,966.55,973.3,56768806,1695.9
18-Oct-02,973.8,982.5,968.8,971.65,52619622,1678.75
21-Oct-02,971.75,976.2,965.65,967.35,32914353,1109.05
22-Oct-02,967.5,976.35,961.65,962.5,35375332,1131.33
23-Oct-02,962.9,963.75,955.45,957.35,50462667,1436.7
24-Oct-02,957.7,959.8,945,946.9,38784328,1212.82
25-Oct-02,946.8,946.8,929.25,932.2,50212164,1487.21
28-Oct-02,932.35,934.9,920.1,922.7,41855140,1110.36
29-Oct-02,922.55,939.7,921.65,936.9,63152064,1758.03
30-Oct-02,936.15,944.35,935.9,937.75,59331163,1454.94
31-Oct-02,937.35,953.3,937.05,951.4,101284389,2552.4
1-Nov-02,951.45,956.95,946.4,951.45,81886663,2104.43
4-Nov-02,951.6,965.5,951.6,962.1,20401035,556.31
5-Nov-02,962.85,963.7,957.2,962.3,46548237,1509.69
7-Nov-02,962.35,970.2,957.95,960.7,61354415,2033.24
8-Nov-02,960.5,960.95,954.35,956.95,47446182,1349.49
11-Nov-02,957.55,958.55,952.1,954.05,43589114,1168.17
12-Nov-02,953.9,960.85,948.05,959.85,44778171,1368.55
13-Nov-02,960.35,965.75,956.9,962.65,50761991,1572.84
14-Nov-02,964.15,974.1,963.5,971.9,62899686,2077.13
15-Nov-02,972.3,992.05,972.3,990.35,71314009,2276.78
18-Nov-02,990.35,1000.3,989.05,996.85,65778859,2021.86
20-Nov-02,996.85,1007.2,992.3,1001.6,79534922,2773.01
21-Nov-02,1001.8,1012.75,1001.8,1008.75,70834273,2373.86
22-Nov-02,1009.5,1026,1009.5,1020.15,82797325,2956.91
25-Nov-02,1020.9,1030.35,1017.5,1026.2,65195626,2094.59
26-Nov-02,1026.4,1040.45,1026,1036.15,78128618,2518.63
27-Nov-02,1036.35,1042.2,1027.7,1031.1,68616818,2560.95
28-Nov-02,1031.25,1051.75,1031.25,1049.7,75687832,2460.37
29-Nov-02,1049.55,1057.45,1040.95,1050.15,62330269,1799.4
2-Dec-02,1050.15,1070.15,1050.15,1067.9,74959263,2228.38
3-Dec-02,1067.7,1075.75,1051.8,1055,76920329,2438.8
4-Dec-02,1055.75,1055.75,1034.1,1036.4,63804437,2311.45
5-Dec-02,1036.75,1052.45,1036.75,1045.95,66830738,2128.22
6-Dec-02,1047.55,1072.25,1047.55,1069.8,86984722,2327.46
